原页码,菌株名称,DSM编号,提取的编号,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
2138,Gordonia sp. DSM 112678,DSM 112678,DSM 112678;CCM 9158,,,,,,
2138,Intestinimonas aquisgranensis DSM 112680,DSM 112680,DSM 112680,GCF_040094935.1,成功,DSM_Intestinimonas aquisgranensis DSM 112680_WGS_GCF_040094935.1.fasta,PP977853,成功,DSM_Intestinimonas aquisgranensis DSM 112680_16S_PP977853.fasta
2138,Ruminococcus turbiniformis DSM 112681,DSM 112681,DSM 112681,GCF_020687545.1,成功,DSM_Ruminococcus turbiniformis DSM 112681_WGS_GCF_020687545.1.fasta,,,
2138,Roseburia amylophila DSM 112682,DSM 112682,DSM 112682,,,,,,
2138,Bacteroides hominis DSM 112683,DSM 112683,DSM 112683,,,,,,
2138,Gordonia bronchialis DSM 112684,DSM 112684,DSM 112684,,,,,,
2138,Brunneochlamydosporium cibotii DSM 112686,DSM 112686,DSM 112686,,,,,,
2138,Penicillium spinulosum DSM 112687,DSM 112687,DSM 112687,,,,,,
2138,Acrodontium sp. DSM 112688,DSM 112688,DSM 112688,,,,,,
2138,Phoma herbarum DSM 112690,DSM 112690,DSM 112690,,,,,,
2139,Brunneochlamydosporium nepalense DSM 112691,DSM 112691,DSM 112691,,,,,,
2139,Metapochonia bulbillosa DSM 112692,DSM 112692,DSM 112692,,,,,,
2139,Talaromyces rademirici DSM 112693,DSM 112693,DSM 112693,,,,,,
2139,Mergibacter septicus DSM 112696,DSM 112696,DSM 112696,GCF_031190595.1,成功,DSM_Mergibacter septicus DSM 112696_WGS_GCF_031190595.1.fasta,AY172732,成功,DSM_Mergibacter septicus DSM 112696_16S_AY172732.fasta
2139,Pseudomonas germanica DSM 112698,DSM 112698,DSM 112698;LMG 32353,GCF_977008155.1,成功,DSM_Pseudomonas germanica DSM 112698_WGS_GCF_977008155.1.fasta,PQ520730,成功,DSM_Pseudomonas germanica DSM 112698_16S_PQ520730.fasta
2139,Pseudomonas fitomaticsae DSM 112699,DSM 112699,DSM 112699,GCF_021018765.1,成功,DSM_Pseudomonas fitomaticsae DSM 112699_WGS_GCF_021018765.1.fasta,MZ773500,成功,DSM_Pseudomonas fitomaticsae DSM 112699_16S_MZ773500.fasta
2139,Virgibacillus saliphilus DSM 112707,DSM 112707,DSM 112707,GCF_019837165.1,成功,DSM_Virgibacillus saliphilus DSM 112707_WGS_GCF_019837165.1.fasta,MW979941,成功,DSM_Virgibacillus saliphilus DSM 112707_16S_MW979941.fasta
2139,Virgibacillus salidurans DSM 112708,DSM 112708,DSM 112708,GCF_021560035.1,成功,DSM_Virgibacillus salidurans DSM 112708_WGS_GCF_021560035.1.fasta,MW979942,成功,DSM_Virgibacillus salidurans DSM 112708_16S_MW979942.fasta
2139,Oliverpabstia intestinalis DSM 113008,DSM 113008,DSM 113008,,,,,,
2139,Dentiradicibacter hellwigii DSM 112713,DSM 112713,DSM 112713;NCTC 14938,GCF_041770905.1,成功,DSM_Dentiradicibacter hellwigii DSM 112713_WGS_GCF_041770905.1.fasta,OQ442336,成功,DSM_Dentiradicibacter hellwigii DSM 112713_16S_OQ442336.fasta
2139,Aspergillus niveoglaucus DSM 112718,DSM 112718,DSM 112718,,,,,,
2139,Penicillium rubens DSM 112719,DSM 112719,DSM 112719,,,,,,
2139,Hominifimenecus microfluidus DSM 112725,DSM 112725,DSM 112725,GCF_040097715.1,成功,DSM_Hominifimenecus microfluidus DSM 112725_WGS_GCF_040097715.1.fasta,PP977868,成功,DSM_Hominifimenecus microfluidus DSM 112725_16S_PP977868.fasta
2139,Blautia fusiformis DSM 112726,DSM 112726,DSM 112726,,,,,,
